Word,Category
乘涼,Quantifiers
乙,Nouns
乙等,Numbers
乙醇,Numbers
九,Numbers
九十,Quantifiers
九月,Temporal Words
九泉之下,Scope Words
九霄雲外,Adverbs
乞丐,Nouns
乞求,Nouns
也,Emphasis Words
也是,Emphasis Words
也許,Nouns
乩童,Nouns
乳房,Nouns
乳癌,Adjectives
乳罩,Nouns
乳臭未乾,Nouns
乾,Adjectives
乾坤,Adjectives
乾旱,Adjectives
乾涸,Adjectives
乾淨,Adjectives
乾燥,Adjectives
乾燥盒,Adverbs
乾癟,Nouns
亂,Adverbs
亂七八糟,Adverbs
亂倫,Pronouns
亂哄哄,Adverbs
亂流,Nouns
亂說,Adverbs
了,Pronouns
了解,Nouns
予取予求,Nouns
事,Nouns
事件,Nouns
事假,Nouns
事情,Nouns
事故,Nouns
事端,Quantifiers
事項,Nouns
二,Quantifiers
二十,Nouns
二合一,Temporal Words
二月,Nouns
二氧化碳,Nouns
二胞胎,Nouns
互助,Coordinating Conjunctions
互動,Coordinating Conjunctions
互問,Coordinating Conjunctions
互惠,Nouns
互相,Adverbs
五,Quantifiers
五五波,Quantifiers
五十,Nouns
五官,Temporal Words
五月,Nouns
五毛錢,Nouns
五穀,Nouns
五臟,Emphasis Words
五體投地,Nouns
井,Temporal Words
井井有條,Temporal Words
井然有序,Nouns
井田,Emphasis Words
些微,Nouns
亡國,Nouns
亡故,Adjectives
亡羊補牢,Idioms
亢奮,Adjectives
亢旱,Adjectives
交付,Verbs
交保,Verbs
交割,Verbs
交叉,Verbs
交大,Nouns
交差,Verbs
交手,Verbs
交易,Nouns
交流道,Nouns
交通,Nouns
交通大學,Nouns
交通規則,Adjectives
交錯,Verbs
交際,Nouns
亨通,Idioms
亮麗,Adjectives
人,Nouns
人偶,Nouns
人口流動,Nouns
人工電子耳,Nouns
人情,Nouns
人拿過去,Pronouns
人格,Nouns
人質,Nouns
人造衛星,Nouns
什麼,Question Pronouns
什麼事?,Question Pronouns
什麼事情?,Question Pronouns
什麼時候,Temporal Words
什麼時間,Temporal Words
仁,Verbs
仁愛,Verbs
仁慈,Nouns
仁義,Nouns
今天,Nouns
今年,Coordinating Conjunctions
仔細,Adverbs
仕途,Nouns
他,Pronouns
他倆,Pronouns
他們,Pronouns
他們兩個,Pronouns
他的,Possessive Pronouns
他鄉,Nouns
仗勢,Nouns
付出,Verbs
付帳,Verbs
付梓,Verbs
付託,Verbs
付錢,Nouns
仙,Nouns
仙人掌,Nouns
仙人跳,Nouns
仙女棒,Verbs
代替,Verbs
代表,Nouns
代謝,Temporal Words
令出必行,Temporal Words
以前,Temporal Words
以往,Temporal Words
以後,Temporal Words
以為,Question Adverbs
以牙還牙,Adverbs
以色列,Nouns
仰人鼻息,Scope Words
仰式,Nouns
仰望,Nouns
仰泳,Nouns
仰臥,Nouns
仲裁,Nouns
任何,Nouns
任務,Quantifiers
任命,Adverbs
任性,Adverbs
任意,Quantifiers
份量,Adverbs
仿冒,Nouns
仿照,Nouns
企圖,Nouns
企業,Nouns
企管系,Nouns
企鵝,Nouns
伊拉克,Nouns
伊朗,Nouns
伊甸園,Nouns
伊索寓言,Nouns
伎倆,Nouns
伏地挺身,Verbs
伏案,Verbs
伏法,Verbs
伏特,Nouns
伏筆,Nouns
伐木,Verbs
休假,Nouns
休克,Nouns
休息,Emphasis Words
休想,Pronouns
休閒,Nouns
伯仲之間,Pronouns
伯伯,Nouns
伯勞鳥,Nouns
伯父,Nouns
估價,Nouns
伶俐,Adjectives
伶牙俐齒,Adjectives
伸冤,Verbs
伸張正義,Verbs
伸懶腰,Verbs
似乎,Mood Particles
但,Coordinating Conjunctions
但是,Causal Conjunctions
但願,Mood Particles
佈告,Nouns
佈置,Nouns
位,Nouns
位元,Verbs
位置,Adjectives
位置交換,Adjectives
位階,Adjectives
低,Adjectives
低劣,Verbs
低漥,Nouns
低潮,Verbs
低聲下氣,Nouns
住宅,Nouns
住持,Nouns
佐證,Nouns
佔便宜,Verbs
佔據,Verbs
佔為己有,Verbs
佔領,Verbs
何,Question Pronouns
何嘗,Question Adverbs
何必,Question Adverbs
何故,Question Adverbs
何時,Nouns
何況,Nouns
佛,Nouns
佛像,Verbs
佛教,Emotion Particles
作古,Verbs
作品,Nouns
作嘔,Verbs
作廢,Emotion Particles
作弊,Verbs
作怪,Nouns
作秀,Verbs
作者,Nouns
佝僂病,Nouns
你,Pronouns
你倆,Pronouns
你們,Pronouns
你們兩個,Nouns
你好,Verbs
你的,Nouns
佣人,Nouns
佣金,Verbs
佩戴胸花,Nouns
佩服,Adverbs
佩槍,Adjectives
佯裝,Nouns
佳評,Nouns
併吞,Nouns
併攏,Nouns
併案,Verbs
併發症,Verbs
使用,Temporal Words
侃侃而談,Temporal Words
來源,Nouns
來臨,Verbs
來賓,Nouns
來龍去脈,Nouns
侈靡,Adjectives
例句,Nouns
例行公事,Verbs
侍候,Verbs
侍奉,Nouns
侍者,Nouns
供應,Nouns
供給,Nouns
供詞,Nouns
供認,Nouns
供銷,Nouns
依序,Nouns
依次,Nouns
依然,Nouns
依照,Adverbs
依舊,Adverbs
依賴,Adverbs
依附,Adverbs
依靠,Adverbs
侵占,Verbs
侵害,Verbs
侵略,Verbs
侵蝕,Verbs
侵襲,Verbs
侷促不安,Adjectives
便宜,Adjectives
便捷,Adjectives
便溺,Nouns
便當,Nouns
便祕,Adjectives
促使,Verbs
促進,Verbs
促銷,Verbs
俄羅斯,Nouns
俏皮話,Nouns
俐落,Adjectives
俗套,Adjectives
俗氣,Adjectives
俗話,Nouns
俗語,Adjectives
俘虜,Nouns
俚俗,Nouns
保存,Verbs
保守,Adjectives
保密,Adjectives
保持,Verbs
保持距離,Verbs
保暖,Adjectives
保留,Verbs
保留區,Nouns
保護,Verbs
保釋,Verbs
保重,Emphasis Words
保障,Verbs
保險,Nouns
保險套,Nouns
保麗龍,Nouns
保齡球,Nouns
俠義,Nouns
信,Verbs
信仰,Nouns
信口開河,Verbs
信差,Nouns
信息,Nouns
修繕,Verbs
修飾,Verbs
修養,Verbs
俯伏,Verbs
俯允,Verbs
俯瞰,Verbs
俯衝,Verbs
俱樂部,Nouns
俸祿,Nouns
俸給,Nouns
倉促,Adverbs
倉庫,Nouns
倉頡輸入法,Nouns
個,Nouns
個別,Quantifiers
個子,Quantifiers
個性,Nouns
個案,Nouns
倍,Nouns
們,Adverbs
倒,Nouns
倒塌,Adverbs
倒帳,Verbs
倒彩,Verbs
倒戈,Verbs
倒掉,Verbs
倒會,Causal Conjunctions
倒楣,Adjectives
倒立,Verbs
倒胃口,Adjectives
倒茶,Verbs
倒貼,Verbs
倒車,Verbs
倒退,Verbs
倒閉,Adjectives
倒霉,Question Adverbs
倘若,Temporal Words
候車,Nouns
候鳥,Emphasis Words
倜儻,Verbs
借,Pronouns
借你,Mood Particles
借光,Question Nouns
借口,Pronouns
借我,Mood Particles
借故,Question Nouns
借貸,Pronouns
借題發揮,Nouns
倡導,Verbs
倣效,Verbs
倦怠,Adjectives
倫,Pronouns
倫理,Nouns
倭寇,Nouns
值得,Adjectives
值日生,Nouns
值班,Nouns
假,Temporal Words
假借名義乞討,Nouns
假冒,Nouns
假如,Adjectives
假寐,Nouns
假惺惺,Adjectives
假扮,Adjectives
假日生活,Adjectives
假期,Nouns
假裝,Nouns
假釋,Adjectives
假面具,Adjectives
偉大,Adjectives
偏方,Nouns
偏激,Adjectives
偏袒,Pronouns
偏見,Nouns
偕同,Coordinating Conjunctions
做,Verbs
做不到,Mood Particles
做不成,Mood Particles
做事,Verbs
做夢,Verbs
做手腳,Verbs
做禮拜,Verbs
停,Temporal Words
停止,Verbs
停泊,Verbs
停火,Verbs
停話,Verbs
停車,Nouns
停車場,Adjectives
停頓,"Side Notes: ""側目"" and ""側門"" are idiomatic expressions that do not fit neatly into the provided categories. They might be considered as Nouns in this context."
偵察,Nouns
偵探,Nouns
偵查庭,Nouns
偵訊,Verbs
偶像,Nouns
偶然,Adverbs
偶而,Frequency Words
偷,Verbs
偷懶,Verbs
偷生,Verbs
偷看,Verbs
偷竊,Verbs
偷腥,Nouns
偷襲,Nouns
偷雞摸狗,Nouns
偽裝,Nouns
偽證,Temporal Words
偽鈔,Adjectives
傀儡,Nouns
傍晚,Nouns
傑出,Nouns
傘,Nouns
備案,Nouns
備註,Nouns
傢具,Nouns
催促,Verbs
催化劑,Nouns
催淚彈,Nouns
傭人,Nouns
傲慢,Adjectives
傳,Verbs
傳line,Nouns
傳呼機,Verbs
傳布,Nouns
傳手機簡訊,Nouns
傳播,Nouns
傳播學系,Nouns
傳染,Nouns
傳染病,Verbs
傳真,Nouns
傳真機,Verbs
傳票,Nouns
傳統,Nouns
傳聲筒,Nouns
傳記,Verbs
傳遞,Nouns
債主,Nouns
債券,Nouns
債務,Nouns
債台高築,Nouns
債權,Nouns
傷,Adjectives
傷亡,Adjectives
傷勢,Adjectives
傷心,Adjectives
傷痕,Nouns
傷腦筋,Adjectives
傷風,Nouns
傻眼,Nouns
傾向,Nouns
傾家蕩產,Nouns
傾心,Nouns
傾斜,Nouns
傾聽,Nouns
僕人,Nouns
僧侶,Nouns
僵局,Nouns
僵持,Nouns
僵硬,Adjectives
價值,Nouns
價格,Nouns
價碼,Nouns
價錢,Nouns
儀器,Nouns
儀容,Nouns
儀式,Nouns
儀表,Nouns
儀隊,Nouns
億,Nouns
儘管,Adjectives
儘量,Adverbs
償債,Verbs
償命,Verbs
償還,Verbs
優劣,Adjectives
優待,Adjectives
優格,Nouns
優秀,Adjectives
優酪乳,Nouns
優點,Adjectives
儲備人才,Nouns
儲存,Verbs
儲放,Verbs
儲蓄,Verbs
儲藏,Verbs
儼然,Adverbs
兀鷹,Nouns
允許,Pronouns
元兇,Nouns
元宵節,Nouns
元寶,Nouns
元旦,Nouns
兄,Nouns
兄弟,Nouns
兄弟姊妹,Nouns
充分,Adjectives
充滿,Adjectives
充耳不聞,Adverbs
充足,Adjectives
充電,Verbs
兆,Nouns
兇,Nouns
兇器,Pronouns
兇嫌,Nouns
兇狠,Adjectives
先,Temporal Words
先後,Scope Words
先生,Nouns
先生和太太,Nouns
光,Quantifiers
光了,Scope Words
光棍,Adjectives
光榮,Temporal Words
光芒,Nouns
光陰,Nouns
光頭,Nouns
光顧,Adjectives
克勤克儉,Verbs
克服,Verbs
兌換,Verbs
兌現,Verbs
免役,Nouns
免疫力,Nouns
免費,Nouns
免除,Nouns
兔唇,Nouns
兔子,Nouns
兜售,Verbs
兜圈子,Verbs
兜風,Verbs
兢兢業業,Adjectives
入口,Nouns
入帳,Nouns
入殮,Nouns
入獄,Nouns
入股,Nouns
入贅,Nouns
入超,Nouns
入迷,Nouns
內,Nouns
內分泌,Nouns
內容,Nouns
內急,Nouns
內憂外患,Nouns
內服,Adjectives
內疚,Nouns
內行,Nouns
內衣,Temporal Words
全,Quantifiers
全力以赴,Emphasis Words
全台灣,Scope Words
全國,Nouns
全家,Nouns
全家便利商店,Nouns
全心全意,Emphasis Words
全民健保,Nouns
全球,Nouns
全部,Scope Words
兩個,Temporal Words
兩天後,Nouns
兩岸,Nouns
兩性,Adjectives
八,Nouns
八八節,Nouns
八十,Nouns
八月,Nouns
公,Nouns
公公,Nouns
公共廁所,Nouns
公共汽車,Nouns
公分,Nouns
公務員,Nouns
公升,Nouns
公司,Nouns
公合,Nouns
公噸,Nouns
公園,Nouns
公墓,Nouns
公婆,Nouns
公害,Nouns
公寸,Nouns
公尺,Nouns
公差,Verbs
公布,Adjectives
公平,Nouns
公廁,Adjectives
公德,Nouns
公文,Nouns
公斗,Nouns
公斤,Nouns
公正,Nouns
公民,Adjectives
公演,Nouns
公石,Nouns
公證結婚,Nouns
公費,Nouns
公路,Nouns
公路局,Nouns
公車,Nouns
公車亭,Nouns
公車站,Nouns
公道,Nouns
公里,Nouns
公錢,Nouns
公開,Nouns
六,Nouns
六十,Nouns
六月,Nouns
六神無主,Nouns
六親不認,Nouns
共事,Nouns
共同,Nouns
共同,Nouns
兵役,Nouns
其中,Adverbs
其他,Nouns
其實,Nouns
其次,Transitional Conjunctions
其餘,Scope Words
具備,Adjectives
具體,Frequency Words
典當,Nouns
典禮,Nouns
兼任,Coordinating Conjunctions
兼併,Coordinating Conjunctions
兼差,Coordinating Conjunctions
兼職,Nouns
兼顧,Nouns
冊,Emphasis Words
再,Nouns
再接再勵,Adverbs
再見,Mood Particles
冒充,Nouns
冒犯,Adjectives
冒險,Nouns
冠軍,Nouns
冤情,Nouns
冤枉,Temporal Words
冬瓜,Nouns
冬至,Temporal Words
冰,Nouns
冰山,Nouns
冰敷,Nouns
冰敷袋,Nouns
冰棒,Nouns
冰河,Nouns
冰淇淋,Nouns
冰箱,Nouns
冰雕,Nouns
冰雪,Nouns
冰雹,Nouns
冷,Adjectives
冷冷地,Adverbs
冷凍,Verbs
冷場,Nouns
冷氣,Nouns
冷氣機,Nouns
冷藏,Verbs
冷靜,Nouns
冷靜,Nouns
冷飲,Emphasis Words
凋落,Adjectives
凌亂,Adjectives
凌晨,Temporal Words
凌虐,Adjectives
凌辱,Adjectives
凍僵,Adjectives
凝固,Verb
凝視,Adjectives
凡士林,Nouns
凡是,Quantifiers
凱旋,Nouns
凶悍,Adjectives
凶惡,Adjectives
凶猛,Adjectives
凸透鏡,Nouns
凹凸不平,Adjectives
凹透鏡,Nouns
凹陷,Adjectives
出,Nouns
出乎意料,Verb
出事,Adverbs
出去,Verbs
出口,Verbs
出局,Nouns
出差,Verbs
出息,Nouns
出殯,Nouns
出爾反爾,Adverbs
出版,Verbs
出版社,Nouns
出獄,Verbs
出生,Verbs
出發,Verbs
出租,Verbs
出納,Nouns
出軌,Verbs
出醜,Adverbs
出門,Verbs
出風頭,Nouns
刀削麵,Nouns
刀叉,Nouns
刀子,Adjectives
刁難,Nouns
分,Verbs
分享,Nouns
分享日,Verbs
分別,Nouns
分娩,Verbs
分子,Nouns
分手,Nouns
分支機關,Nouns
分數,Nouns
分期付款,Nouns
分發,Verbs
分紅,Nouns
分組,Nouns
分贓,Nouns
分配,Verbs
分開,Nouns
分類,Nouns
切,Verbs
切除,Nouns
刊物,Verbs
刊登,Nouns
刑,Nouns
刑事,Nouns
刑場,Nouns
刑求,Nouns
刑法,Nouns
刑警,Nouns
划,Nouns
划不來,Nouns
划算,Adverbs
划船,Verbs
划龍舟,Adverbs
列車,Nouns
初審,Nouns
初戀,Nouns
初次,Adjectives
初版,Nouns
初等,Adjectives
初級,Adjectives
初診,Nouns
初試,Nouns
初賽,Nouns
初選,Nouns
判斷,Verbs
判決,Nouns
別人,Pronouns
別墅,Pronouns
別有用心,Adjectives
別的,Nouns
別離,Adjectives
刨木頭,Verbs
利,Adjectives
利害,Verbs
利息,Nouns
刪減,Verbs
刪除,Verbs
刮彩卷,Nouns
刮目相看,Idioms
刮臉,Verbs
刮鬍子,Verbs
到,Spatial Words
到底,Spatial Words
到處,Verbs
到達,Verbs
制度,Nouns
制服,Nouns
制止,Verbs
刷卡,Verbs
刷子,Nouns
刷牙,Adverbs
券,Adjectives
刺,Adjectives
刺激,Nouns
刺痛,Idioms
刺目,Nouns
刻苦耐勞,Adjectives
刻薄,Adjectives
剁,Verbs
剁碎,Verbs
剃光頭,Verbs
剃刀,Nouns
剃頭,Verbs
削弱,Verbs
削水果,Verbs
削減,Adjectives
剋星,Temporal Words
前一天,Temporal Words
前天,Verbs
前往,Nouns
前後,Adjectives
前程萬里,Temporal Words
前途,Adjectives
前進,Temporal Words
前面,Verbs
剝皮,Verbs
剝落,Verbs
剩,Quantifiers
剩下,Adverbs
剩餘,Adverbs
剪刀,Nouns
剪票,Verbs
剪綵,Verbs
剪裁,Verbs
剪貼,Verbs
副,Nouns
副作用,Nouns
副刊,Nouns
副業,Verbs
割,Verbs
割愛,Verbs
割斷,Verbs
割讓,Nouns
創作,Nouns
創刊,Nouns
創意,Verbs
創新,Verbs
創造,Verbs
剷除,Verbs
劃分,Verbs
劃撥,Verbs
劇,Nouns
劇團,Nouns
劇情,Nouns
劇本,Nouns
劇烈,Adjectives
劈開,Verbs
劍,Nouns
劍術,Nouns
力氣,Nouns
力求,Verbs
力量,Nouns
功勞,Nouns
功夫,Nouns
功能,Idioms
功虧一簣,Nouns
功課,Verbs
加,Verbs
加倍,Verbs
加入,Verbs
加油,Emphasis Words
加油站,Nouns
加法,Nouns
加班,Nouns
加薪,Nouns
加護病房,Nouns
加速,Verbs
劣勢,Nouns
劣根性,Nouns
劣等,Nouns
助理,Nouns
助聽器,Nouns
助聽器戴上,Verbs
助聽器拿下,Nouns
助聽器掉了,Nouns
助聽器關機,Verbs
助聽器電池匣,Adjectives
助選,Nouns
努力,Nouns
劫持,Nouns
劫機,Adjectives
劫運,Verbs
勃起,Nouns
勇敢,Adjectives
勇氣,Adjectives
勉勵,Verbs
勉強,Verbs
勒令,Verbs
勒索,Verbs
動,Verbs
動作,Nouns
動員,Verbs
動心,Adjectives
動搖,Adjectives
動武,Verbs
動物,Nouns
動物園,Nouns
動畫,Nouns
動脈,Verbs
勘查,Verbs
勘災,Verbs
勘誤,Adjectives
務實,Adjectives
務必,Verbs
務農,Nouns
勝任,Nouns
勝利,Nouns
勝訴,Nouns
勞力,Nouns
勞動節,Nouns
勞工節,Nouns
勞工關係學系,Nouns
勞方,Pronouns
勞累,Adjectives
勞軍,Nouns
募捐,Nouns
募款,Nouns
勢利眼,Nouns
勢力,Nouns
勤儉,Adjectives
勤勉,Adjectives
勤勞,Adjectives
勤奮,Adjectives
勤學,Adjectives
勤快,Adjectives
勤惰,Adjectives
勤能補拙,Nouns
勳章,Nouns
勵志,Verbs
勸告,Verbs
勸導,Verbs
勸架,Nouns
勾引,Verbs
勾結,Verbs
包,Nouns
包含,Verbs
包圍,Nouns
包子,Nouns
包容,Verbs
包打聽,Verbs
包括,Nouns
包水餃,Verbs
包紮,Nouns
包裝,Nouns
包裹,Nouns
包辦,Nouns
匆忙,Nouns
化,Temporal Words
化妝,Verbs
化學,Nouns
化學工程學系,Nouns
化學系,Nouns
化學與生物學系,Nouns
化工系,Nouns
化膿,Verbs
化裝,Verbs
化解,Verbs
化驗,Verbs
北,Nouns
北回歸線,Nouns
北投,Nouns
北捷,Nouns
北斗星,Nouns
北方,Nouns
北極,Nouns
北美洲,Nouns
匝道,Nouns
匯兌,Nouns
匯款,Nouns
匯率,Nouns
匯票,Adjectives
匱乏,Nouns
匾額,Question Pronouns
匿名,Nouns
區,Nouns
區公所,Nouns
區分,Nouns
區別,Nouns
區域,Nouns
區隔,Nouns
十,Quantifiers
十一月,Temporal Words
十二月,Temporal Words
十二生肖,Nouns
十全十美,Adjectives
十分,Nouns
十字架,Nouns
十字路口,Temporal Words
十月,Quantifiers
十萬,Adjectives
千,Verb
千鈞一髮,Verb
升值,Verb
升學,Verb
升官發財,Verb
升旗,Nouns
升級,Nouns
升降機,Adverbs
午休,Nouns
半價,Scope Words
半夜,Temporal Words
半天課,Nouns
半工半讀,Nouns
半徑,Nouns
半票,Nouns
半身不遂,Nouns
卑微,Adjectives
卑鄙,Adjectives
卓越,Adjectives
協助,Nouns
協商,Nouns
協會,Nouns
協調,Nouns
南,Nouns
南來北往,Nouns
南方,Nouns
南極,Nouns
南美洲,Nouns
南邊,Nouns
南面,Nouns
卜卦,Nouns
卡,Pronouns
卡介苗,Nouns
卡位,Nouns
卡片,Nouns
卡牌,Nouns
卡路里,Nouns
卡車,Nouns
卡通,Nouns
印刷,Nouns
印尼,Nouns
印度,Nouns
印章,Nouns
印第安人,Nouns
印表機,Nouns
印象,Adjectives
危急,Adverbs
危機,Adverbs
危險,Adverbs
即使,Nouns
即刻,Nouns
即席,Nouns
即食麵,Nouns
卵,Nouns
卵子,Nouns
卵巢,Nouns
卵生,Adjectives
卷子,Nouns
卷宗,Nouns
卸任,Verbs
卸妝,Verbs
卸貨,Verbs
卸責,Verbs
卸責給他,Nouns
卻步,Nouns
卿卿我我,Nouns
厄運,Adjectives
厚,Nouns
厚度,Adjectives
厚愛,Nouns
厚此薄彼,Adjectives
厚臉皮,Nouns
厚道,Temporal Words
原住民,Nouns
原來,Nouns
原則,Nouns
原封不動,Nouns
原形畢露,Nouns
原意,Nouns
原料,Nouns
原版,Nouns
原理,Nouns
原諒,Nouns
厭倦,Adjectives
厭惡,Adjectives
厭煩,Adjectives
厲害,Adjectives
去,Verbs
去世,Verbs
去向,Nouns
去年,Temporal Words
去掉,Verbs
去留,Nouns
參加,Verbs
參政,Nouns
參考,Nouns
參考書,Nouns
參觀,Nouns
又,Coordinating Conjunctions
友情,Nouns
友愛,Nouns
友誼,Nouns
友邦,Nouns
反,Adverbs
反光,Nouns
反叛,Nouns
反哺,Nouns
反射,Nouns
反對,Adverbs
反常,Adverbs
反悔,Adverbs
反感,Nouns
反應,Adverbs
反抗,Nouns
反擊,Adverbs
反攻,Nouns
反正,Adverbs
反目,Nouns
反省,Nouns
取代,Verbs
取得,Verbs
取悅,Verbs
取暖,Verbs
取消,Verbs
取笑,Verbs
取締,Verbs
受傷,Verbs
受傷,Verbs
受刑人,Nouns
受孕,Verbs
受害,Verbs
受寒,Verbs
受挫,Verbs
受氣,Verbs
受涼,Nouns
受災戶,Verbs
受獎,Verbs
受理,Verbs
受益,Verbs
受罪,Verbs
受聘,Verbs
