並駕齊驅,Verbs  
中,Adjectives  
中元節,Nouns  
中午,Temporal Words  
中古,Adjectives  
中國大陸,Nouns  
中國語文學系,Nouns  
中壢,Nouns  
中央,Nouns
中庸,Adjectives  
中意,Verbs  
中文系,Nouns  
中暑,Verbs  
中樞神經,Nouns  
中正,Adjectives  
中正大學,Nouns  
中毒,Verbs  
中班,Nouns  
中秋節,Nouns  
中美洲,Nouns  
中肯,Adjectives  
中華,Nouns  
中輟,Verbs  
中間,Nouns  
中風,Verbs  
中飽私囊,Verbs  
中餐,Nouns  
丰采,Nouns  
串珠,Verbs  
串通,Verbs  
串門子,Verbs  
丹田,Nouns  
丹麥,Nouns  
主,Nouns  
主任,Nouns  
主宰,Verbs  
主席,Nouns  
主張,Verbs  
主旨,Nouns  
主機,Nouns  
主要,Adjectives  
主軸,Nouns  
久,Temporal Words  
之,Pronouns  
之前,Temporal Words  
乏味,Adjectives  
乒乓球,Nouns  
乖,Adjectives  
乖僻,Adjectives  
乖張,Adjectives  
乖戾,Adjectives  
乘客,Nouns  
乘機,Verbs  
乘法,Nouns  
乘涼,Verbs  
乙,Nouns  
乙等,Nouns  
乙醇,Nouns  
九,Quantifiers  
九十,Quantifiers  
九月,Temporal Words  
九泉之下,Temporal Words  
九霄雲外,Adjectives  
乞丐,Nouns  
乞求,Verbs  
也,Verbs  
也是,Verbs  
也許,Adverbs  
乩童,Nouns  
乳房,Nouns  
乳癌,Nouns  
乳罩,Nouns  
乳臭未乾,Adjectives  
乾,Adjectives  
乾坤,Nouns  
乾旱,Adjectives  
乾涸,Adjectives  
乾淨,Adjectives  
乾燥,Adjectives  
乾燥盒,Nouns  
乾癟,Adjectives  
乾瞪眼,Verbs  
乾脆,Adjectives  
乾電池,Nouns  
亂,Adjectives  
亂七八糟,Adjectives  
亂倫,Verbs  
亂哄哄,Adjectives  
亂流,Nouns  
亂說,Verbs  
了,Verbs  
了解,Verbs  
予取予求,Verbs  
事,Nouns  
事件,Nouns  
事假,Nouns  
事情,Nouns  
事故,Nouns  
事端,Nouns  
事項,Nouns  
二,Quantifiers  
二十,Quantifiers  
二合一,Nouns  
二月,Temporal Words  
二氧化碳,Nouns  
二胞胎,Nouns  
二胡,Nouns  
二選一,Verbs  
于,Prepositions
互助,Verbs  
互動,Verbs  
互問,Verbs  
互惠,Verbs  
互相,Adverbs  
五,Quantifiers  
五五波,Adjectives  
五十,Quantifiers  
五官,Nouns  
五月,Temporal Words  
五毛錢,Nouns  
五穀,Nouns  
五臟,Nouns  
五體投地,Adjectives  
井,Nouns  
井井有條,Adjectives  
井然有序,Adjectives  
井田,Nouns  
些微,Adjectives  
亞,Nouns  
亞洲,Nouns  
亞熱帶,Nouns  
亞軍,Nouns  
亟欲,Verbs  
亡命,Verbs  
亡國,Nouns  
亡故,Verbs  
亡羊補牢,Verbs  
亢奮,Adjectives  
亢旱,Adjectives  
交付,Verbs  
交保,Verbs  
交割,Verbs  
交叉,Verbs  
交大,Nouns  
交差,Verbs  
交手,Verbs  
交易,Verbs  
交流道,Nouns  
交通,Nouns  
交通大學,Nouns  
交通規則,Nouns  
交錯,Verbs  
交際,Verbs  
亨通,Adjectives  
享受,Verbs  
享福,Verbs  
京,Nouns  
亮,Adjectives  
亮晶晶,Adjectives  
亮麗,Adjectives  
人,Nouns  
人偶,Nouns  
人口流動,Nouns  
人工電子耳,Nouns  
人情,Nouns  
人拿過去,Verbs  
人格,Nouns  
人質,Nouns  
人造衛星,Nouns  
什麼,Question Pronouns  
什麼事?,Question Pronouns  
什麼事情?,Question Pronouns  
什麼時候,Question Adverbs  
什麼時間,Question Adverbs  
仁,Nouns  
仁愛,Nouns  
仁慈,Nouns  
仁義,Nouns  
今天,Temporal Words  
今年,Temporal Words  
介入,Verbs  
介意,Verbs  
介紹,Verbs  
仍然,Adverbs  
仔細,Adjectives  
仕途,Nouns  
他,Pronouns  
他倆,Pronouns  
他們,Pronouns  
他們兩個,Pronouns  
他的,Pronouns  
他鄉,Nouns  
仗勢,Verbs  
付出,Verbs  
付帳,Verbs  
付梓,Verbs  
付託,Verbs  
付錢,Verbs  
仙,Nouns  
仙人掌,Nouns  
仙人跳,Nouns  
仙女棒,Nouns  
代替,Verbs  
代表,Verbs  
代謝,Verbs  
令出必行,Verbs  
以…為生,Verbs  
以上,Quantifiers  
以下,Quantifiers
